Date	Open	High	Low	Close	Volume	Adj Close			
03/01/2006	5618.8	5682.2	5618.8	5681.5	1838004800	5681.5			
04/01/2006	5681.5	5716.4	5681.5	5714.6	2005345000	5714.6			
05/01/2006	5714.6	5722.4	5686.4	5691.2	1862546600	5691.2			
06/01/2006	5691.2	5731.8	5691.2	5731.8	1894952000	5731.8			
09/01/2006	5731.8	5750.3	5725.9	5731.5	1690826200	5731.5			
10/01/2006	5731.5	5731.5	5686.1	5688.8	1799942000	5688.8			
11/01/2006	5688.8	5731.5	5688.8	5731.5	1606590000	5731.5			
12/01/2006	5731.5	5744.6	5724.9	5735.1	2119263800	5735.1			
13/01/2006	5735.1	5735.1	5690.9	5711	1641089400	5711			
16/01/2006	5711	5740.2	5707.2	5740.2	1259420600	5740.2			
17/01/2006	5740.2	5740.2	5693.1	5699	1902898600	5699			
18/01/2006	5699	5699	5634.8	5663.7	1849631400	5663.7			
19/01/2006	5663.7	5710	5663.7	5693.2	2052263400	5693.2			
20/01/2006	5693.2	5729.8	5666.5	5672.4	2131625600	5672.4			
23/01/2006	5672.4	5672.4	5625	5660.9	1658293600	5660.9			
24/01/2006	5660.9	5679	5630.4	5633.8	2113319200	5633.8			
25/01/2006	5633.8	5704.4	5633.8	5704.4	1993671000	5704.4			
26/01/2006	5704.4	5744	5698.5	5722.6	2141267000	5722.6			
27/01/2006	5722.6	5788.2	5722.6	5786.8	2039447400	5786.8			
30/01/2006	5786.8	5796.1	5772.7	5779.8	1414552400	5779.8			
31/01/2006	5779.8	5792.5	5760.3	5760.3	2143520800	5760.3			
01/02/2006	5760.3	5816	5746.2	5801.6	2144570400	5801.6			
02/02/2006	5801.6	5811.8	5743	5747.3	1969273800	5747.3			
03/02/2006	5747.3	5766.7	5728.2	5759.3	1728166400	5759.3			
06/02/2006	5759.3	5790.4	5759.3	5772.4	1681635200	5772.4			
07/02/2006	5772.4	5781.3	5734.7	5746.8	2042239200	5746.8			
08/02/2006	5746.8	5746.8	5681.9	5725.1	2141978600	5725.1			
09/02/2006	5725.1	5808.9	5725.1	5808.7	2138982600	5808.7			
10/02/2006	5808.7	5808.7	5764.1	5764.1	2058495200	5764.1			
